1	1	1	1	1	0	999	0.957	0	0.043	0	1
0	0	1	0	0	1	999	0	0.934	0	0.066	2
1	1	0	0	0	0	999	0.006	0.994	0	0	2
0	0	0	1	1	0	999	0.008	0	0.965	0.026	3
0	1	1	0	0	0	80.23	0.013	0.987	0	0	2
0	0	0	0	0	1	65.05	0	0.117	0	0.883	4
1	1	0	1	1	1	999	0.58	0	0.42	0	1
1	1	1	1	1	0	89.64	0.957	0	0.043	0	1
1	0	0	0	0	0	999	0	0.307	0	0.693	4
1	0	0	1	1	0	999	0.031	0	0.964	0.006	3
0	0	0	0	0	1	51.42	0	0.117	0	0.883	4
1	0	0	0	0	1	999	0	0.307	0	0.693	4
1	0	1	0	1	0	52.57	0.048	0	0.951	0.001	3
1	1	1	1	1	1	999	0.957	0	0.043	0	1
1	1	0	999	1	1	63.36	0.407	0	0.593	0	3
1	0	0	0	0	1	999	0	0.307	0	0.693	4
0	0	1	0	1	0	59.88	0.014	0	0.982	0.004	3
1	1	1	1	1	0	999	0.957	0	0.043	0	1
0	0	0	0	0	0	999	0	0.117	0	0.883	4
0	1	0	0	0	0	999	0.001	0.999	0	0	2
0	0	0	0	1	0	97.56	0.001	0	0.763	0.236	3
1	0	0	1	1	1	999	0.031	0	0.964	0.006	3
0	0	1	0	1	1	999	0.014	0	0.982	0.004	3
1	1	0	0	1	1	72.27	0.121	0	0.879	0	3
1	0	1	0	0	1	66.62	0.002	0.977	0	0.021	2
0	0	0	1	1	1	999	0.008	0	0.965	0.026	3
1	0	0	0	0	1	999	0	0.307	0	0.693	4
0	0	1	1	1	0	999	0.122	0	0.877	0	3
0	0	1	1	0	1	45.05	0.011	0.972	0	0.017	2
1	1	0	0	1	1	65.2	0.121	0	0.879	0	3
1	1	1	1	1	1	65.68	0.957	0	0.043	0	1
1	1	1	1	0	1	999	0.65	0.35	0	0	1
0	0	0	0	0	1	79.79	0	0.117	0	0.883	4
1	1	1	1	1	0	70.44	0.957	0	0.043	0	1
1	0	0	0	0	0	74.75	0	0.307	0	0.693	4
