160	2	0	2	3	3	2	999	2	3	999	2	-1.39429105	2	999	2	3	999	2	1	999	1	2	999	2
161	1	1	3	2	3	3	2	999	3	2	999	-1.974797573	2	2	2	3	2	999	2	2	1	3	3	2
164	2	0	2	2	2	2	2	2	3	3	3	-0.813784527	1	2	2	1	3	3	1	2	2	1	3	3
165	1	1	2	2	2	2	2	2	2	3	2	-0.233278004	1	1	2	1	1	2	1	1	2	1	1	3
168	1	1	3	3	3	3	3	999	3	3	999	-0.813784527	1	2	999	1	2	999	1	1	999	1	2	999
173	2	0	3	999	999	2	999	999	2	999	999	-0.813784527	999	999	999	999	999	999	999	999	999	999	999	999
175	2	0	3	3	3	2	2	2	3	3	2	-1.39429105	1	2	2	1	2	2	1	1	1	1	2	2
177	2	0	1	3	2	1	2	2	1	2	3	2.088748087	1	2	2	1	2	2	1	1	1	1	2	2
179	2	0	2	3	999	3	3	999	3	3	999	0.347228519	1	1	999	1	1	999	1	1	999	1	1	999
183	2	0	2	2	2	2	2	2	3	3	2	-0.233278004	1	1	1	1	1	1	1	1	1	1	1	1
185	1	1	2	3	3	3	3	3	3	3	3	-2.555304096	2	2	2	3	3	3	1	1	1	2	2	2
188	2	0	3	2	999	3	3	999	3	3	999	-1.974797573	2	2	999	3	3	999	2	2	999	3	3	999
193	2	0	3	999	3	2	999	2	3	999	2	-0.233278004	1	999	2	1	999	3	1	999	1	1	999	2
198	2	0	2	3	1	2	3	1	3	3	1	-0.233278004	2	2	2	2	2	2	999	1	2	999	2	3
200	1	1	999	3	1	999	2	1	999	3	1	-0.813784527	1	1	1	1	1	1	1	1	1	1	1	1
204	2	0	3	3	2	2	3	2	3	3	3	-0.813784527	2	2	2	2	2	3	1	1	1	2	2	2
207	2	0	2	2	3	2	2	2	3	3	3	0.347228519	1	1	1	1	1	1	1	1	1	1	1	1
211	2	0	1	1	2	1	1	2	1	1	3	0.347228519	1	1	1	1	1	1	1	1	1	1	1	1
215	1	1	2	3	2	2	3	3	3	3	3	-0.813784527	2	2	2	2	2	3	1	1	1	2	2	2
222	1	1	2	3	3	3	2	3	3	3	3	0.347228519	2	2	2	3	2	3	1	1	1	2	2	2
223	1	1	3	2	2	3	3	3	3	3	3	-0.813784527	2	2	2	3	3	3	1	1	1	2	2	2
225	1	1	3	3	3	2	2	3	3	2	3	0.347228519	2	2	2	2	2	2	2	1	1	3	2	2
226	2	0	1	1	1	1	1	1	1	1	1	999	1	1	1	1	1	1	1	1	1	1	1	1
233	1	1	3	2	2	3	3	3	3	3	3	0.347228519	2	2	2	3	3	2	2	2	2	3	3	3
235	2	0	2	3	3	2	2	2	3	3	3	0.347228519	1	2	2	1	2	2	1	1	1	1	2	2
238	2	0	1	1	1	1	1	1	1	1	1	999	1	1	1	1	1	1	1	1	1	1	1	1
239	1	1	2	2	999	3	2	999	3	3	999	-2.555304096	1	1	999	1	1	999	1	1	999	1	1	999
246	1	1	3	2	2	2	2	2	2	3	3	-0.233278004	1	2	2	1	2	3	1	1	1	1	2	2
254	1	1	1	1	1	1	1	1	1	1	1	999	1	1	1	1	1	1	1	1	1	1	1	1
259	1	1	1	1	2	1	1	2	1	1	2	0.347228519	1	1	1	1	1	1	1	1	1	1	1	1
260	1	1	2	2	2	2	2	2	3	3	3	-0.233278004	1	1	2	1	1	2	1	1	1	1	1	2
262	1	1	3	2	1	3	2	1	3	3	1	0.927735042	2	1	999	3	1	999	2	1	999	3	1	999
266	2	0	3	2	2	3	3	2	3	3	3	-0.233278004	1	2	1	1	3	1	1	2	1	1	3	1
267	2	0	3	3	3	2	2	2	3	3	2	0.347228519	2	2	2	2	3	2	1	1	1	2	2	2
268	1	1	3	3	3	2	2	3	2	3	3	-0.813784527	1	2	2	1	3	2	1	2	1	1	3	2
274	2	0	1	999	999	1	999	999	1	999	999	0.927735042	1	999	999	1	999	999	1	999	999	1	999	999
276	2	0	2	1	1	2	1	1	2	1	1	0.347228519	1	1	2	1	1	2	1	1	2	1	1	3
278	1	1	3	3	3	3	999	2	3	999	3	0.347228519	1	2	2	1	999	3	1	999	999	1	999	999
279	1	1	3	3	999	3	3	999	3	3	999	-1.974797573	2	2	999	2	3	999	1	999	999	2	999	999
282	1	1	1	2	2	1	3	2	1	3	3	-0.813784527	1	2	2	1	3	2	1	2	2	1	3	3
284	2	0	3	1	1	2	1	1	2	1	1	0.347228519	2	2	1	2	2	1	1	1	1	2	2	1
287	1	1	2	3	2	3	2	2	3	2	3	-0.233278004	2	2	2	3	2	3	1	1	2	2	2	3
299	1	1	3	999	999	2	999	999	3	999	999	-0.233278004	2	999	999	3	999	999	1	999	999	2	999	999
301	2	0	2	3	2	2	2	2	3	3	2	-1.39429105	1	1	1	1	1	1	1	1	1	1	1	1
303	2	0	3	3	2	2	2	2	3	2	3	-1.974797573	2	2	2	2	2	2	1	1	1	2	2	2
307	2	0	2	3	3	2	2	2	3	3	3	2.088748087	1	1	1	1	1	1	1	1	1	1	1	1
308	1	1	1	2	2	1	2	3	1	3	3	999	1	1	1	1	1	1	1	1	1	1	1	1
309	2	0	1	1	1	1	1	1	1	1	1	999	1	1	1	1	1	1	1	1	1	1	1	1
313	2	0	3	3	2	2	2	2	3	2	3	0.347228519	2	2	2	2	2	3	2	2	2	3	3	3
315	2	0	3	2	2	3	3	3	3	3	3	-0.813784527	1	1	2	1	1	3	1	1	2	1	1	3
317	2	0	1	999	1	1	999	1	1	999	1	0.927735042	1	999	2	1	999	2	1	999	999	1	999	999
321	1	1	3	3	3	3	3	3	3	3	3	-0.233278004	2	2	2	2	3	3	1	1	2	2	2	3
323	1	1	1	3	2	1	2	2	1	3	3	0.347228519	1	2	2	1	2	3	1	2	2	1	3	3
324	1	1	3	3	999	2	2	999	2	2	999	-0.233278004	2	2	999	2	2	999	2	2	999	3	3	999
335	2	0	999	3	3	999	2	2	999	3	3	-0.813784527	2	2	2	2	3	2	1	2	2	2	3	3
338	2	0	3	3	2	2	2	2	3	3	3	-0.813784527	2	2	999	999	2	999	999	2	999	999	3	999
