stu_id,x1stdob,x1ses,x1sex,x1race,x1par1edu,x1par2edu,x1mtscor,x2mtscor,x3gpa9,x3gpaacd,x1parexp,s1eduexp,s2eduexp,s4eduexp
29984,199407,-0.0327,1,8,2,2,59.1986,65.5343,4,4,8,5,4,4
29985,199503,1.2199,2,3,5,3,39.5327,42.0566,2,2,6,6,3,4
29986,199403,0.8563,1,8,2,4,49.046,51.0874,2.5,2,6,5,3,NA
29987,199507,1.2038,1,8,4,3,57.4302,63.2704,3,3,6,6,NA,6
29988,199412,0.044,1,8,4,2,52.6378,52.6122,NA,3.5,10,6,5,4
29989,199500,NA,1,2,1,NA,NA,33.767,3.5,3,4,NA,2,NA
29990,199310,-0.7014,1,3,NA,NA,34.7691,30.5632,2.5,3,NA,4,4,3
29991,199409,-0.8412,2,8,2,2,51.0772,45.8759,2.5,2,4,5,4,NA
29992,199502,-0.4257,1,8,2,2,44.5015,NA,1.5,1,3,NA,NA,NA
29993,199505,-0.7709,1,5,2,1,47.8029,42.1802,NA,NA,10,NA,3,3
29994,199411,-1.3178,2,8,1,NA,39.9441,36.2265,2.5,2.5,8,NA,4,NA
29995,199506,-0.4615,1,8,2,2,46.9921,44.326,2.5,2.5,6,NA,NA,3
29996,199507,0.4161,1,3,4,2,31.7718,37.2967,2.5,2,4,5,2,NA
29997,199506,-0.3684,1,5,2,NA,41.9811,41.6233,1.5,2.5,10,NA,NA,3
29998,199500,NA,1,NA,NA,NA,NA,39.6055,NA,NA,NA,NA,4,2
29999,199508,-0.5465,2,5,2,2,44.8383,47.9398,3,3,4,NA,2,NA
30000,199503,-0.4267,2,2,1,2,39.185,52.8077,NA,3,6,2,6,5
30001,199410,0.0531,1,8,NA,NA,50.2653,49.4688,3.5,3.5,NA,4,5,5
30002,199505,-0.4728,2,6,2,NA,48.3491,58.0337,2,2,11,4,NA,NA
30003,199412,2.2035,1,8,7,5,48.793,51.3431,3,3,11,6,6,5
30004,199509,-0.4311,2,8,2,2,49.8813,52.4078,3,3.5,8,NA,6,5
30005,199400,NA,2,4,NA,NA,NA,49.754,2.5,1.5,NA,NA,3,NA
30006,199503,-0.251,2,5,3,2,54.3967,61.3693,3.5,3.5,10,6,5,4
30007,199412,0.9376,2,3,4,7,41.1429,46.9719,NA,NA,8,NA,4,NA
30008,199505,1.7163,1,8,5,5,60.5483,60.6178,3,3,6,5,5,6
30009,199505,1.4279,2,5,4,7,67.9196,65.658,4,4,8,4,4,NA
30011,199412,-0.3173,2,8,2,2,58.2519,NA,3.5,3.5,11,NA,NA,NA
30012,199507,0.0152,2,2,2,1,73.5828,NA,4,4,11,6,NA,6
30013,199508,-0.1235,1,8,2,NA,62.7368,62.8308,3.5,3.5,6,NA,3,NA
30014,199503,0.2231,1,2,5,3,53.1776,56.8312,4,3.5,6,5,4,4
30016,199410,-0.842,2,5,1,1,55.8554,49.6619,3.5,2.5,2,NA,4,4
30017,199501,-0.2322,2,5,3,2,45.4702,45.2465,2,2.5,4,6,3,3
30018,199410,-0.1191,1,8,3,2,46.9759,48.3521,2.5,2,8,4,4,5
30019,199502,0.018,2,6,2,2,71.2096,68.0508,4,4,8,5,5,NA
30020,199504,0.3282,2,6,4,2,71.0725,60.7436,4,3.5,10,6,6,5
30021,199410,0.4682,2,5,4,4,64.1069,55.5226,3.5,3.5,8,5,5,NA
30022,199407,0.366,1,8,4,2,44.8371,46.4227,3,3,8,6,NA,4
30023,199505,-0.4342,2,8,NA,NA,50.5747,59.3224,4,4,NA,3,5,6
30024,199411,-0.6592,2,5,2,2,31.1366,48.5576,NA,1.5,3,NA,NA,NA
30026,199308,-0.1929,1,3,NA,NA,32.7228,33.5978,0.25,0.25,NA,NA,4,2
30027,199404,-0.157,1,8,NA,NA,43.6745,39.3769,1.5,1.5,NA,NA,4,NA
30028,199411,-0.3695,2,8,2,2,47.0922,50.9513,2.5,3,6,NA,NA,NA
30029,199509,0.9204,1,2,2,4,61.9385,58.4948,3.5,3.5,8,4,4,3
30030,199411,-0.6032,2,8,2,2,27.8943,46.1443,3,2.5,6,4,4,NA
30032,199509,-0.1864,2,8,3,2,60.6783,57.2188,NA,NA,4,6,4,NA
30033,199508,0.3124,2,2,NA,NA,62.3326,56.1023,3.5,3.5,NA,6,4,4
30034,199410,-0.0524,1,6,2,2,30.8502,48.3049,1.5,0.5,2,6,2,NA
30035,199504,-0.8286,1,5,NA,NA,47.0618,54.7743,3.5,3,NA,5,5,4
30036,199500,NA,1,NA,NA,NA,NA,60.3348,3.5,3,NA,NA,5,4
30037,199506,-0.203,2,8,NA,NA,39.0771,NA,NA,NA,NA,3,NA,NA
30038,199508,0.5007,2,8,NA,NA,59.4534,48.8999,2.5,2.5,NA,5,4,4
30039,199506,-1.0788,2,5,2,1,37.9476,48.9131,1.5,2,4,3,NA,3
30040,199501,-0.8794,1,3,2,2,37.7273,47.5019,2.5,2.5,6,4,4,NA
30041,199409,-0.5163,1,3,3,2,45.661,NA,1.5,1.5,11,4,NA,5
30042,199511,-0.6338,2,5,2,1,60.0864,56.0892,3,3,6,4,4,4
30043,199412,0.4957,2,8,4,5,50.7297,51.7679,NA,3.5,6,5,4,4
30044,199411,0.0872,2,6,3,4,49.7887,49.9244,NA,NA,8,NA,3,NA
30045,199410,-0.0932,1,8,4,2,59.9778,46.7047,3,3,11,6,6,6
30047,199410,0.6088,1,8,3,2,59.0956,55.3065,3.5,3.5,4,NA,2,3
30048,199508,1.0926,1,2,5,4,62.9863,72.9926,4,3.5,8,6,5,6
30049,199212,0.3526,1,3,NA,NA,52.9319,36.7946,3,2.5,NA,6,4,5
30050,199501,-1.3419,2,6,2,NA,45.7283,49.1518,2.5,3,8,5,NA,NA
30051,199503,-0.6785,1,6,2,2,61.6961,55.2359,3,3,8,5,NA,NA
